factor,factor_group,description,point_in_time_status,batch3C_5d_candidate_flag,batch3C_5d_mean_ic,batch3C_5d_icir,batch3C_5d_positive_ic_rate,batch3C_5d_direction_adjusted_spread,expected_direction,training_status,feature_role,transform_freeze,missing_value_policy,reason
industry_ret_60d,industry_strength,Industry 60-day equal-weight return.,diagnostic_industry_snapshot,True,-0.0186113576466061,-2.0435155002004612,0.4748347737671581,0.0002789357033855,low_factor,blocked_diagnostic_only,diagnostic_grouping,not_used_in_primary_training,not_applicable,Current-snapshot industry dependency; blocked until point-in-time industry source is locked.
industry_breadth_20d,industry_breadth,Industry 20-day rolling positive-return breadth.,diagnostic_industry_snapshot,False,-0.0047346030556561,-0.5669006731928551,0.4965312190287413,0.001758354961568,low_factor,blocked_diagnostic_only,diagnostic_grouping,not_used_in_primary_training,not_applicable,Current-snapshot industry dependency; blocked until point-in-time industry source is locked.
industry_breadth_60d,industry_breadth,Industry 60-day rolling positive-return breadth.,diagnostic_industry_snapshot,False,-0.0125082532874049,-1.4109172885227863,0.4824824824824825,5.18674921296852e-05,low_factor,blocked_diagnostic_only,diagnostic_grouping,not_used_in_primary_training,not_applicable,Current-snapshot industry dependency; blocked until point-in-time industry source is locked.
industry_amount_share,industry_crowding,Industry amount share of full-market amount.,diagnostic_industry_snapshot,False,-0.0122441356187223,-1.2241211893567798,0.4864331524420325,0.0007472504224074,low_factor,blocked_diagnostic_only,diagnostic_grouping,not_used_in_primary_training,not_applicable,Current-snapshot industry dependency; blocked until point-in-time industry source is locked.
industry_amount_share_roll20d,industry_crowding,Industry amount share 20-day rolling mean.,diagnostic_industry_snapshot,False,-0.0104297848484506,-1.0299759456317457,0.4861248761149653,0.0010487975756111,low_factor,blocked_diagnostic_only,diagnostic_grouping,not_used_in_primary_training,not_applicable,Current-snapshot industry dependency; blocked until point-in-time industry source is locked.
industry_amount_share_roll60d,industry_crowding,Industry amount share 60-day rolling mean.,diagnostic_industry_snapshot,False,-0.0082262514875351,-0.811579800575737,0.494994994994995,0.0012017731881092,low_factor,blocked_diagnostic_only,diagnostic_grouping,not_used_in_primary_training,not_applicable,Current-snapshot industry dependency; blocked until point-in-time industry source is locked.
industry_crowding_score,industry_crowding,Industry amount-share percentile versus own prior 252 trading days.,diagnostic_industry_snapshot,True,-0.018659197604911,-2.4307202310239484,0.4433146924250127,0.0003318322604463,low_factor,blocked_diagnostic_only,diagnostic_grouping,not_used_in_primary_training,not_applicable,Current-snapshot industry dependency; blocked until point-in-time industry source is locked.
stock_amount_share_in_industry,liquidity_crowding,Stock amount as share of its industry's amount.,usable_after_t_close,True,-0.0356365961033277,-4.521049640378811,0.3690182535767143,0.0049478362341205,low_factor,conditional_ablation_only,liquidity_crowding_diagnostic,not_used_in_primary_training,not_applicable,"Batch3C marks it usable after close, but it depends on industry grouping; use only in a separate ablation unless point-in-time industry membership is accepted."
turnover_rate,liquidity,Daily turnover rate.,usable_after_t_close,True,-0.0541091671826095,-5.113659098997315,0.3734583127775037,0.0018269014606069,low_factor,primary_training_feature,primary_feature,daily_cross_sectional_rank_pct_then_center,cross_sectional_median_rank,Candidate in Batch3C for 5d and available after T close without concept/theme data.
log_amount,liquidity,Log daily amount.,usable_after_t_close,True,-0.0632037543090167,-6.967771251706737,0.3182042427232363,0.005049589922424,low_factor,primary_training_feature,primary_feature,daily_cross_sectional_rank_pct_then_center,cross_sectional_median_rank,Candidate in Batch3C for 5d and available after T close without concept/theme data.
log_total_mv,size,Log total market value.,usable_after_t_close,True,-0.0250708186698424,-2.262779806889555,0.4193389245189935,0.0056535626549471,low_factor,primary_training_feature,primary_feature,daily_cross_sectional_rank_pct_then_center,cross_sectional_median_rank,Candidate in Batch3C for 5d and available after T close without concept/theme data.
